id,altmetric_jid,type,altmetric_id,journal,is_oa,schema,score,cited_by_posts_count,cited_by_msm_count,cited_by_policies_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_rh_count,cited_by_patents_count,cited_by_accounts_count,last_updated,added_on,published_on,readers_count,citeulike_reader,mendeley,connotea,Literature_id_id
138,,article,49698044,Journal of Clinical Sleep Medicine,0,1.5.4,2.25,4,,,4,,,,4,1540570262,1539607267,1539561600,34,0,34,0,756
139,,article,4074160,Journal of General Internal Medicine,0,1.5.4,6.25,5,,1,,1,,,3,1628723308,1432994724,1233619200,24,0,24,0,758
140,,article,976036,Patient Education & Counseling,0,1.5.4,0.5,1,,,1,,,,1,1349140863,1349140871,1340755200,67,0,67,0,768
141,,article,10725017,Journal of Neurosurgery,0,1.5.4,0.25,1,,,1,,,,1,1566129841,1471697708,1471564800,34,0,34,0,774
142,,article,44125071,,0,1.5.4,1.0,1,,,1,,,,1,1529947008,1529947027,1464739200,36,0,36,0,801
143,,article,14064977,The Laryngoscope,0,1.5.4,0.75,2,,,2,,,,2,1504020666,1480119673,1476748800,91,0,91,0,815
144,,article,6243789,Maternal and Child Health Journal,0,1.5.4,1.25,2,,,1,1,,,2,1458415977,1458415992,1449619200,52,0,52,0,824
145,,article,136905990,BMC Medical Education,0,1.5.4,3.0,6,,,5,,,,5,1667542200,1665177246,1665100800,84,0,84,0,827
146,,article,105584385,Journal of Foot & Ankle Surgery,0,1.5.4,0.75,2,,,1,1,,,2,1623157449,1620617256,1620604800,10,0,10,0,832
147,,article,6145547,BMC Obesity,0,1.5.4,3.2,4,,,4,,,,4,1457577497,1457526593,1457481600,54,0,54,0,849
148,,article,4583379,Journal of Electronic Imaging,0,1.5.4,0.75,2,,,1,1,,,2,1443888125,1443888144,1441238400,19,0,19,0,874
149,,article,95970183,Journal of Human Lactation,0,1.5.4,4.3,19,,,5,3,,,8,1640614036,1607969798,1602201600,71,0,71,0,877
150,,article,117125762,Frontiers of Computer Science,0,1.5.4,0.25,1,,,1,,,,1,1637227427,1637227440,1637193600,17,0,17,0,885
151,,article,63643903,,0,1.5.4,3.55,4,,,4,,,,4,1569001762,1563310969,1556755200,49,0,49,0,900
152,,article,107674920,ACM Computing Surveys,0,1.5.4,6.65,9,,,8,1,,,9,1705340187,1623770841,1621900800,53,0,53,0,909
153,,article,111867878,arXiv,0,1.5.4,1.25,2,,,2,,,,2,1694536385,1629089175,1634601600,6,0,6,0,920
154,,article,2670842,Journal of Clinical Neuroscience,0,1.5.4,5.75,12,,,4,2,,,11,1708442708,1410345370,1409788800,38,0,38,0,944
155,,article,97253246,Cardiology in the Young,0,1.5.4,0.25,1,,,1,,,,1,1610024492,1610024506,1577318400,41,0,41,0,954
156,,article,32792843,Burns (03054179),0,1.5.4,1.0,3,,,2,1,,,3,1555344328,1518019372,1525651200,28,0,28,0,965
