id,altmetric_jid,type,altmetric_id,journal,is_oa,schema,score,cited_by_posts_count,cited_by_msm_count,cited_by_policies_count,cited_by_tweeters_count,cited_by_fbwalls_count,cited_by_rh_count,cited_by_patents_count,cited_by_accounts_count,last_updated,added_on,published_on,readers_count,citeulike_reader,mendeley,connotea,Literature_id_id
50,,book,35969572,,0,1.5.4,3.0,1,,,,,,,1,1638099460,1523263119,1374710400,310,0,310,0,255
51,,article,694260,Otolaryngology–Head and Neck Surgery,0,1.5.4,0.5,1,,,1,,,,1,1334252641,1334252772,1333411200,72,0,72,0,259
52,,article,105402104,Frontiers in Psychology,0,1.5.4,42.35,47,2,,43,,,,45,1672423531,1620314032,1620086400,732,0,732,0,260
53,,article,32827643,Communications of the ACM,0,1.5.4,3.0,3,,,,,,,3,1656690988,1518090103,436492800,42,0,42,0,261
54,,article,42135329,AI & SOCIETY,0,1.5.4,6.0,2,,,,,,1,2,1701730866,1526856008,1007164800,575,4,571,0,264
55,,article,12063557,Computer,0,1.5.4,1.0,1,,,1,,,,1,1472595075,1474122601,1125532800,278,1,277,0,267
56,,book,59263402,,0,1.5.4,1.5,5,,,3,,,,3,1681325502,1555729076,1194825600,319,0,319,0,280
57,,article,67379567,IEEE Transactions on Software Engineering,0,1.5.4,1.0,1,,,1,,,,1,1569619030,1569647331,452217600,42,1,41,0,282
58,,article,30171478,,0,1.5.4,1.0,1,,,1,,,,1,1375786324,1512743106,1262304000,127,2,125,0,288
59,,article,1843856,Behavior Research Methods,0,1.5.4,30.65,47,,,36,2,,,43,1457987679,1382198537,1382140800,134,0,134,0,289
60,,article,3726130,Clinical Orthopaedics & Related Research,0,1.5.4,18.25,10,1,2,5,1,,,9,1685491200,1424783923,1285891200,409,0,409,0,294
61,,article,4543589,Computers in Human Behavior,0,1.5.4,1.25,3,,,3,,,,3,1469384647,1442993584,1454284800,435,0,435,0,298
62,,article,2616187,,0,1.5.4,21.776,6,,,3,,,,5,1593697513,1408649536,1406505600,37,1,36,0,302
63,,article,47915565,Drug Safety,0,1.5.4,5.0,1,,,,,,,1,1536318012,1536318080,1354320000,90,0,90,0,304
64,,article,3001886,Information & Software Technology,0,1.5.4,2.0,3,,,3,,,,3,1544221174,1419058080,1235865600,352,0,352,0,312
65,,article,2958988,Clinical Orthopaedics & Related Research,0,1.5.4,3.35,7,,,5,1,,,6,1430921943,1417883949,1417737600,88,1,87,0,313
66,,article,2008041,Information Sciences Applications,0,1.5.4,0.25,1,,,,1,,,1,1388219520,1388219561,1238284800,266,0,266,0,314
67,,article,16690573,JAMA Pediatrics,0,1.5.4,12.0,2,,1,,,,,2,1348479018,1487881617,993945600,153,1,152,0,319
68,,article,2786246,Foot & Ankle International,0,1.5.4,0.5,1,,,1,,,,1,1413561045,1413561138,1411084800,48,0,48,0,322
69,,article,3595721,Journal of Personality & Social Psychology,0,1.5.4,4.0,3,,,1,,,,3,1484673101,1423838859,757382400,241,0,241,0,323
70,,article,59788816,,0,1.5.4,6.85,5,,,4,,,,5,1594289399,1556747934,1401494400,188,0,188,0,327
71,,chapter,1755705,IBM Systems Journal,0,1.5.4,8.0,4,,,2,,,1,4,1614038400,1379430811,347155200,32,0,32,0,328
72,,article,2868374,Journal of Systems & Software,0,1.5.4,1.0,1,,,1,,,,1,1415607013,1415607077,1146441600,49,2,47,0,333
73,,article,28345427,,0,1.5.4,2.7,5,,,4,,,,4,1621427971,1509707790,1462060800,72,0,72,0,340
74,,book,12407292,,0,1.5.4,1.0,1,,,1,,,,1,1400270778,1475522081,1109635200,153,0,153,0,342
75,,article,15482623,IEEE Transactions on Software Engineering,0,1.5.4,4.55,5,,,5,,,,5,1503494902,1484373798,1109635200,186,3,183,0,344
76,,article,3143217,IEEE Software,0,1.5.4,6.0,4,,1,,,,,4,1609949429,1422556931,946684800,315,1,314,0,347
77,,article,16166303,Applied Ergonomics,0,1.5.4,3.0,3,,1,,,,,1,1233446400,1486371254,1041379200,100,0,100,0,354
78,,article,24662619,Information & Software Technology,0,1.5.4,1.0,1,,,,,,,1,1504201642,1504345238,1422748800,173,0,173,0,364
79,,article,85765643,Symmetry,0,1.5.4,1.5,4,,,4,,,,4,1663765418,1594726552,1594080000,34,0,34,0,374
80,,article,102458973,Diabetes Technology & Therapeutics,0,1.5.4,1.0,2,,,1,,,,1,1310651908,1616545373,1117584000,37,0,36,1,384
81,,article,2958465,Academic Radiology,0,1.5.4,1.5,6,,,3,2,,,5,1447762712,1417866901,1417737600,60,0,60,0,385
82,,article,96324388,Joint Commission journal on quality and patient safety,0,1.5.4,3.0,1,,1,,,,,1,1408614105,1608390524,1264982400,92,0,92,0,389
83,,article,50962699,Human–Computer Interaction,0,1.5.4,0.5,1,,,1,,,,1,1584124938,1541637816,1540425600,100,0,100,0,391
84,,article,864623,Educational Research,0,1.5.4,0.5,1,,,1,,,,1,1343691505,1343691584,1343347200,79,0,79,0,392
85,,article,1359323,Acta Tropica,0,1.5.4,0.75,4,,,1,1,,,2,1368161275,1365665226,1365206400,70,0,70,0,395
86,,article,4323665,Midwifery,0,1.5.4,12.0,5,,4,,,,,4,1618316388,1437799999,1161129600,121,0,121,0,396
87,,article,3003746,Information & Software Technology,0,1.5.4,1.35,3,,,2,,,,2,1419482712,1419135039,1420070400,164,0,164,0,399
88,,article,16193223,Empirical Software Engineering,0,1.5.4,49.116,62,,,54,1,,,56,1688037752,1486451723,1486166400,79,2,77,0,406
89,,article,26435148,Acta Neurochirurgica,0,1.5.4,2.0,5,,,4,,,,4,1553942049,1506078674,1503360000,63,0,63,0,409
90,,article,105378483,ACM Transactions on Software Engineering and Methodology,0,1.5.4,22.6,45,,,35,,,,35,1696227496,1620284721,1648771200,205,0,205,0,411
91,,article,14219299,Journal of Telemedicine and Telecare,0,1.5.4,1.85,2,,,2,,,,2,1480610363,1480608524,1480464000,115,0,115,0,415
92,,article,115307192,Structural and Multidisciplinary Optimization,0,1.5.4,0.5,2,,,1,1,,,2,1634393405,1634393414,1633651200,108,0,108,0,417
